Epoch	lr	Time-elapse(Min)	Train-Loss	Test-Loss	Train-Acc	Test-Acc	Test-Acc-Top5	
126	0.050000	86.331070	1.613201	1.620355	63.787998	55.820000	85.150002	
127	0.050000	87.003403	1.617783	1.595059	63.481998	56.379997	85.089996	
128	0.050000	87.688749	1.623360	1.674287	63.545998	54.899998	84.049995	
129	0.050000	88.374689	1.615105	1.682144	63.515999	54.539997	83.949997	
130	0.050000	89.044981	1.625458	1.770183	63.315998	53.279999	83.029999	
131	0.050000	89.721929	1.622233	1.779545	63.421997	53.230000	82.389999	
132	0.050000	90.394356	1.613705	1.522799	63.771999	58.250000	85.689995	
133	0.050000	91.087385	1.616656	1.557056	63.785999	57.189999	85.629997	
134	0.050000	91.775914	1.619216	1.836306	63.896000	50.570000	81.439995	
135	0.050000	92.465736	1.631927	1.446717	63.295998	59.259998	86.930000	
136	0.050000	93.156398	1.624858	1.544622	63.393997	56.989998	84.599998	
137	0.050000	93.842120	1.616574	1.663571	63.823997	55.180000	84.110001	
138	0.050000	94.545644	1.623035	1.564957	63.515999	57.329998	85.349998	
139	0.050000	95.231681	1.619370	1.569887	63.831997	56.579998	85.610001	
140	0.050000	95.915286	1.622879	1.637143	63.671997	55.299999	84.049995	
141	0.050000	96.599573	1.621508	1.624154	63.961998	56.649998	84.400002	
142	0.050000	97.266685	1.625809	1.424459	63.697998	60.000000	87.430000	
143	0.050000	97.964544	1.626160	1.585321	63.689999	57.639999	85.559998	
144	0.050000	98.649756	1.623072	1.640775	63.556000	55.680000	84.549995	
145	0.050000	99.323722	1.621748	1.727156	63.845997	54.180000	81.320000	
146	0.050000	99.982422	1.612644	1.731936	63.705997	53.969997	83.579994	
147	0.050000	100.668175	1.620950	1.590799	63.542000	55.669998	84.799995	
148	0.050000	101.345266	1.627416	1.644944	63.737999	55.090000	84.250000	
149	0.050000	102.025578	1.615661	1.774171	63.879997	53.000000	82.209999	
150	0.050000	102.704728	1.618650	1.654430	63.862000	55.969997	84.239998	
151	0.005000	103.391357	1.223053	0.964195	74.849998	71.439995	93.089996	
152	0.005000	104.082766	1.099722	0.935968	78.311996	72.070000	93.559998	
153	0.005000	104.781368	1.048784	0.917916	79.627998	73.159996	93.470001	
154	0.005000	105.456497	1.007555	0.918513	80.722000	72.869995	93.709999	
155	0.005000	106.146457	0.978585	0.906568	81.395996	73.879997	93.680000	
156	0.005000	106.835951	0.951037	0.910244	82.153999	73.269997	93.549995	
157	0.005000	107.504372	0.930667	0.906226	82.430000	73.209999	93.680000	
158	0.005000	108.184951	0.907948	0.914953	83.045998	73.559998	93.419998	
159	0.005000	108.852837	0.892509	0.916565	83.697998	72.949997	93.759995	
160	0.005000	109.537561	0.870669	0.917949	84.245995	73.430000	93.470001	
161	0.005000	110.210928	0.860010	0.926552	84.442001	73.180000	93.500000	
162	0.005000	110.896298	0.852339	0.931153	84.323997	73.229996	93.570000	
163	0.005000	111.579918	0.836216	0.933456	84.837997	73.029999	93.419998	
164	0.005000	112.256660	0.826473	0.937108	85.119995	73.459999	93.399994	
165	0.005000	112.948729	0.819829	0.961015	85.295998	72.449997	93.489998	
166	0.005000	113.650023	0.817908	0.947833	85.203995	72.799995	93.439995	
167	0.005000	114.335165	0.809165	0.960510	85.377998	72.739998	93.320000	
168	0.005000	115.006290	0.799632	0.953772	85.708000	72.750000	93.229996	
169	0.005000	115.675119	0.802883	0.997622	85.765999	71.930000	92.729996	
170	0.005000	116.358197	0.799209	0.980574	85.653999	71.790001	93.079994	
171	0.005000	117.062809	0.794697	0.991015	85.834000	71.610001	92.829994	
172	0.005000	117.747218	0.795788	1.003895	85.624001	71.599998	92.860001	
173	0.005000	118.441564	0.797971	1.024393	85.557999	71.320000	92.540001	
174	0.005000	119.120277	0.796770	0.987719	85.582001	72.139999	92.820000	
